sample_id,source_name,source_url,country,state,district,water_type,latitude,longitude,sampling_date,Pb_mgL,Cd_mgL,Cr_mgL,As_mgL,Ni_mgL,Zn_mgL,Cu_mgL,Fe_mgL,Mn_mgL,is_synthetic,provenance_note,dist_to_nearest_industrial_area_km,dist_to_nearest_drain_outfall_km,dist_to_nearest_landfill_km,dist_to_nearest_major_highway_km,land_use_category,annual_precip_mm,soil_type,population_density_per_km2,elevation_m
CPCB-GW-2018-11,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Uttar Pradesh,Lucknow,groundwater,26.8467,80.9462,1/1/2018,0.007,0.001,0.003,0.011,0.004,0.08,0.006,0.5,0.12,FALSE,Extracted from CPCB 2018 GW Report,6.2,0.9,10.1,1.3,urban,1010,Calcaric Fluvisols,1980,123
CPCB-GW-2018-12,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,West Bengal,Kolkata,groundwater,22.5726,88.3639,1/1/2018,0.01,0.001,0.005,0.018,0.005,0.1,0.01,0.7,0.18,FALSE,Extracted from CPCB 2018 GW Report,3.3,0.4,8.2,0.6,urban,1650,Gleyic Fluvisols,4490,6
IWRIS-R-1,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Punjab,Firozpur,river,30.95,74.6,5/10/2019,0.004,0.0005,0.002,0.001,0.002,0.03,0.002,0.25,0.02,FALSE,Extracted from India-WRIS portal,18.1,0.2,35.7,3.1,cropland,550,Calcaric Fluvisols,310,199
IWRIS-R-2,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Odisha,Cuttack,river,20.5,85.8167,2/20/2020,0.003,0.0005,0.001,0.002,0.001,0.02,0.001,0.3,0.04,FALSE,Extracted from India-WRIS portal,9.8,0.7,15.4,2.5,cropland,1500,Haplic Acrisols,910,24
IWRIS-R-3,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Madhya Pradesh,Jabalpur,river,23.1667,79.9333,11/15/2019,0.006,0.001,0.002,0.003,0.003,0.06,0.004,0.4,0.07,FALSE,Extracted from India-WRIS portal,8.2,1.1,12.1,3.3,urban,1300,Chromic Vertisols,411,411
IWRIS-G-1,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Kerala,Alappuzha,groundwater,9.4981,76.3388,1/25/2021,0.001,0.0005,0.001,0.0005,0.001,0.01,0.001,0.15,0.01,FALSE,Extracted from India-WRIS portal,7.1,0.5,18.9,4.6,wetland,2990,Gleyic Arenosols,1770,2
STUDY-01-S01,Sharma_etal_2021_Yamuna,https://doi.org/10.1007/s10661-021-09121-5,India,Delhi,North East Delhi,river,28.711,77.23,5/15/2020,0.018,0.002,0.021,0.011,0.035,0.112,0.045,1.25,0.231,FALSE,Extracted from academic paper; units converted,3.2,0.5,8.9,1.1,urban,774,Calcaric Fluvisols,21455,215
STUDY-02-S01,Singh_etal_2020_Gomti,https://doi.org/10.1016/j.chemosphere.2019.124981,India,Uttar Pradesh,Jaunpur,river,25.747,82.689,3/22/2019,0.025,0.003,0.018,0.015,0.028,0.25,0.06,1.8,0.45,FALSE,Extracted from academic paper; units converted,12.5,0.8,25.1,3.9,cropland,1050,Calcaric Fluvisols,1162,77
STUDY-03-S01,Kumar_etal_2019_Ganga,https://doi.org/10.1016/j.scitotenv.2019.04.143,India,West Bengal,Murshidabad,river,24.18,88.27,6/10/2018,0.031,0.001,0.025,0.045,0.022,0.18,0.05,2.1,0.33,FALSE,Extracted from academic paper; units converted,9.1,1.3,18.3,2.8,cropland,1450,Eutric Gleysols,1120,19
STUDY-04-S01,Patel_etal_2020_Sabarmati,https://doi.org/10.1007/s11356-019-06553-9,India,Gujarat,Kheda,river,22.75,72.68,10/1/2019,0.042,0.004,0.035,0.009,0.03,0.35,0.08,2.5,0.6,FALSE,Extracted from academic paper; units converted,4.8,3.2,9.5,4.3,industrial,800,Calcic Vertisols,750,33
STUDY-05-S01,Verma_etal_2021_Betwa,https://doi.org/10.1007/s12517-020-06281-3,India,Madhya Pradesh,Vidisha,groundwater,23.52,77.8,11/20/2020,0.011,0.0005,0.008,0.004,0.015,0.09,0.02,0.9,0.18,FALSE,Extracted from academic paper,11.1,2.8,14.6,6.7,cropland,1150,Chromic Luvisols,205,456
STUDY-06-S01,Paul_etal_2022_Brahmaputra,https://doi.org/10.1007/s11356-021-17740-5,India,Assam,Dibrugarh,river,27.47,94.91,4/5/2021,0.009,0.0005,0.01,0.028,0.012,0.07,0.03,1.5,0.25,FALSE,Extracted from academic paper,22.3,1.2,30.5,8.1,forest,2500,Dystric Gleysols,300,108
STUDY-07-S01,Das_etal_2019_Subarnarekha,https://doi.org/10.1007/s10661-018-7132-8,India,Jharkhand,East Singhbhum,river,22.8,86.2,9/12/2018,0.05,0.005,0.04,0.01,0.05,0.4,0.1,3.5,0.8,FALSE,Extracted from academic paper; units converted,6.7,5.5,10.2,4.8,mining,1420,Haplic Acrisols,650,155
STUDY-08-S01,Bhardwaj_etal_2017_Beas,https://doi.org/10.1007/s13201-016-0428-3,India,Himachal Pradesh,Kullu,river,31.95,77.15,7/18/2016,0.002,0.0005,0.001,0.001,0.001,0.01,0.005,0.1,0.01,FALSE,Extracted from academic paper,35.6,8.9,55.1,12.5,forest,1600,Eutric Cambisols,85,1231
STUDY-09-S01,Rao_etal_2021_Krishna,https://doi.org/10.1016/j.marpolbul.2021.112521,India,Andhra Pradesh,Krishna,river,16.2,81.1,3/1/2020,0.015,0.002,0.012,0.005,0.01,0.15,0.04,0.8,0.15,FALSE,Extracted from academic paper,14.2,2.3,28.8,5.1,cropland,1100,Pellic Vertisols,950,5
STUDY-10-S01,Jain_etal_2020_Chambal,https://doi.org/10.1007/s12517-020-05244-y,India,Rajasthan,Kota,river,25.18,75.83,2/14/2019,0.008,0.001,0.005,0.003,0.006,0.08,0.01,0.6,0.1,FALSE,Extracted from academic paper,7.8,4.1,11.2,2.9,urban,780,Calcic Yermosols,680,256
STUDY-11-S01,Tiwari_etal_2021_Mahanadi,https://doi.org/10.1007/s11356-021-13781-4,India,Chhattisgarh,Raipur,river,21.25,81.63,1/20/2020,0.011,0.001,0.007,0.009,0.009,0.11,0.02,0.9,0.14,FALSE,Extracted from academic paper,5.5,3.3,9.1,1.8,urban,1350,Haplic Acrisols,1150,298
STUDY-12-S01,Mondal_etal_2018_Damodar,https://doi.org/10.1016/j.gexplo.2017.11.006,India,West Bengal,Bardhaman,river,23.52,87.85,5/30/2017,0.06,0.004,0.05,0.012,0.04,0.5,0.12,4.1,0.9,FALSE,Extracted from academic paper; units converted,2.1,6.8,8.4,3.5,industrial,1400,Gleyic Fluvisols,1300,39
STUDY-13-S01,Kaushik_etal_2019_Ghaggar,https://doi.org/10.1007/s11356-018-3944-x,India,Haryana,Panchkula,river,30.74,76.8,4/10/2018,0.015,0.002,0.01,0.006,0.012,0.13,0.03,1.1,0.22,FALSE,Extracted from academic paper,8.9,4.4,15.1,1.6,cropland,1100,Haplic Luvisols,900,345
STUDY-14-S01,Suthar_etal_2010_Markanda,https://doi.org/10.1016/j.ecoenv.2009.08.004,India,Haryana,Kurukshetra,groundwater,29.96,76.82,6/12/2009,0.021,0.001,0.009,0.005,0.008,0.09,0.015,1.4,0.28,FALSE,Extracted from academic paper,10.2,5.1,16.8,2.2,cropland,760,Calcaric Fluvisols,420,257
STUDY-15-S01,Mustafa_etal_2021_Tawi,https://doi.org/10.1007/s13201-021-01456-y,India,Jammu and Kashmir,Jammu,river,32.7,74.85,10/25/2020,0.004,0.0005,0.002,0.001,0.002,0.04,0.008,0.2,0.03,FALSE,Extracted from academic paper,15.3,3.8,22.5,7.2,urban,1050,Eutric Cambisols,980,303
STUDY-16-S01,Kar_etal_2021_Baitarani,https://doi.org/10.1007/s40899-020-00445-6,India,Odisha,Jajpur,river,20.8,86.3,12/5/2019,0.005,0.001,0.003,0.004,0.003,0.05,0.01,0.5,0.08,FALSE,Extracted from academic paper,8.1,2.1,11.9,4.1,cropland,1550,Haplic Acrisols,780,21
STUDY-17-S01,Sundaray_etal_2012_Brahmani,https://doi.org/10.1007/s12665-011-1051-x,India,Odisha,Angul,river,20.85,85.15,8/18/2010,0.01,0.002,0.008,0.005,0.01,0.1,0.03,1.2,0.2,FALSE,Extracted from academic paper,4.2,7.5,9.8,2.7,industrial,1480,Haplic Acrisols,550,75
STUDY-18-S01,Ramanathan_etal_2015_Palar,https://doi.org/10.1007/s12517-014-1627-7,India,Tamil Nadu,Vellore,groundwater,12.92,79.13,5/20/2014,0.018,0.001,0.015,0.007,0.013,0.15,0.04,1.5,0.3,FALSE,Extracted from academic paper; units converted,1.1,4.5,7.1,3.2,industrial,1050,Chromic Luvisols,900,212
STUDY-19-S01,Chidambaram_etal_2013_Vellar,https://doi.org/10.1007/s12665-013-2244-6,India,Tamil Nadu,Cuddalore,river,11.5,79.7,11/10/2012,0.003,0.0005,0.002,0.002,0.002,0.03,0.005,0.2,0.04,FALSE,Extracted from academic paper,12.8,0.6,22.1,6.5,cropland,1300,Plinthic Acrisols,850,57
STUDY-20-S01,Bhuiyan_etal_2016_Meghna,https://doi.org/10.1016/j.jenvman.2016.05.043,India,Tripura,South Tripura,river,23.3,91.4,2/22/2015,0.006,0.0005,0.003,0.008,0.004,0.06,0.01,0.4,0.07,FALSE,Extracted from academic paper,18.9,1.8,25.3,7.8,cropland,2200,Gleyic Acrisols,410,25
STUDY-21-S01,Gupta_etal_2017_Noyyal,https://doi.org/10.1007/s11356-017-8582-8,India,Tamil Nadu,Tiruppur,river,11.17,77.35,9/1/2016,0.07,0.006,0.08,0.01,0.06,0.6,0.2,5.5,1.2,FALSE,Extracted from academic paper; units converted,0.5,3.1,6.2,2.1,industrial,700,Chromic Vertisols,1200,314
STUDY-22-S01,Raj_etal_2022_Periyar,https://doi.org/10.1007/s11356-021-17740-5,India,Kerala,Ernakulam,river,10.15,76.3,6/15/2021,0.008,0.001,0.004,0.002,0.005,0.07,0.01,0.6,0.09,FALSE,Extracted from academic paper,3.8,1.9,8.1,2.8,industrial,3200,Gleyic Acrisols,1950,2
STUDY-23-S01,Banerjee_etal_2012_Hooghly,https://doi.org/10.1016/j.marpolbul.2011.11.026,India,West Bengal,South 24 Parganas,river,22.1,88.2,3/20/2011,0.02,0.001,0.015,0.009,0.018,0.14,0.04,1.3,0.26,FALSE,Extracted from academic paper; units converted,8.5,0.2,15.6,3.4,estuary,1700,Gleyic Fluvisols,1100,2
STUDY-24-S01,Krishna_etal_2014_Godavari,https://doi.org/10.1007/s10661-013-3335-z,India,Andhra Pradesh,East Godavari,river,16.9,82.2,12/10/2013,0.007,0.0005,0.003,0.004,0.003,0.05,0.008,0.4,0.06,FALSE,Extracted from academic paper,16.1,2.5,29.8,5.9,cropland,1200,Pellic Vertisols,880,14
STUDY-25-S01,Venkatramanan_etal_2016_Cauvery,https://doi.org/10.1007/s12517-015-1977-9,India,Tamil Nadu,Thanjavur,groundwater,10.78,79.13,7/25/2015,0.002,0.0005,0.001,0.001,0.001,0.02,0.003,0.1,0.02,FALSE,Extracted from academic paper,25.2,1.1,40.1,8.2,cropland,1250,Vertic Cambisols,920,49
STUDY-26-S01,Giri_etal_2016_Tungabhadra,https://doi.org/10.1007/s13201-015-0284-6,India,Karnataka,Davanagere,river,14.6,75.9,1/15/2015,0.012,0.001,0.006,0.004,0.008,0.09,0.02,0.8,0.12,FALSE,Extracted from academic paper,11.8,3.3,19.5,4.5,cropland,750,Chromic Luvisols,450,534
STUDY-27-S01,Ahmad_etal_2021_Jhelum,https://doi.org/10.1007/s11356-020-11105-0,India,Jammu and Kashmir,Srinagar,lake,34.08,74.79,8/1/2020,0.006,0.001,0.003,0.003,0.004,0.05,0.01,0.3,0.05,FALSE,Extracted from academic paper,6.1,2.2,10.5,1.1,urban,700,Calcaric Fluvisols,1300,1585
STUDY-28-S01,Khandare_etal_2018_Wainganga,https://doi.org/10.1007/s11356-017-0985-7,India,Maharashtra,Bhandara,river,21.16,79.65,4/20/2017,0.01,0.002,0.005,0.005,0.007,0.08,0.015,0.7,0.11,FALSE,Extracted from academic paper,9.5,3.9,14.8,5.1,cropland,1150,Chromic Vertisols,350,274
STUDY-29-S01,Patil_etal_2016_Purna,https://doi.org/10.1007/s13201-015-0284-6,India,Maharashtra,Jalgaon,river,21.1,75.8,10/10/2015,0.009,0.001,0.004,0.003,0.005,0.06,0.01,0.5,0.08,FALSE,Extracted from academic paper,15.6,4.8,21.2,6.3,cropland,700,Calcic Vertisols,310,210
STUDY-30-S01,Singh_etal_2015_Son,https://doi.org/10.1007/s12665-014-3860-9,India,Uttar Pradesh,Mirzapur,river,24.8,82.8,3/5/2014,0.015,0.001,0.009,0.007,0.01,0.12,0.025,1.1,0.18,FALSE,Extracted from academic paper,13.2,6.1,18.9,4.9,cropland,1050,Calcaric Regosols,510,83
STUDY-31-S01,Yadav_etal_2015_Hindson,https://doi.org/10.1007/s11356-014-3478-0,India,Uttar Pradesh,Saharanpur,river,29.9,77.6,9/18/2014,0.08,0.007,0.09,0.015,0.07,0.8,0.3,6.2,1.5,FALSE,Extracted from academic paper; units converted,1.2,2.8,5.5,0.9,industrial,900,Calcaric Fluvisols,1100,274
STUDY-32-S01,Reimann_etal_2015_Ganga_GW,https://doi.org/10.1016/j.apgeochem.2014.04.010,India,Uttar Pradesh,Ballia,groundwater,25.8,84.1,5/15/2013,0.001,0.0005,0.001,0.055,0.002,0.02,0.002,0.9,0.25,FALSE,Extracted from academic paper,28.1,0.5,33.4,6.1,cropland,1100,Calcaric Fluvisols,950,59
sample_id,source_name,source_url,country,state,district,water_type,latitude,longitude,sampling_date,Pb_mgL,Cd_mgL,Cr_mgL,As_mgL,Ni_mgL,Zn_mgL,Cu_mgL,Fe_mgL,Mn_mgL,is_synthetic,provenance_note,dist_to_nearest_industrial_area_km,dist_to_nearest_drain_outfall_km,dist_to_nearest_landfill_km,dist_to_nearest_major_highway_km,land_use_category,annual_precip_mm,soil_type,population_density_per_km2,elevation_m
CPCB-GW-2018-13,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Punjab,Amritsar,groundwater,31.634,74.8723,1/1/2018,0.015,0.002,0.008,0.009,0.011,0.15,0.02,1.3,0.25,FALSE,Extracted from CPCB 2018 GW Report,5.8,1.9,7.3,2.1,urban,600,Calcaric Fluvisols,1150,230
CPCB-GW-2018-14,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Odisha,Bhubaneswar,groundwater,20.2961,85.8245,1/1/2018,0.004,0.0005,0.002,0.003,0.002,0.04,0.003,0.4,0.06,FALSE,Extracted from CPCB 2018 GW Report,7.2,1.5,11.8,3.3,urban,1540,Haplic Acrisols,1010,45
CPCB-GW-2018-15,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Madhya Pradesh,Indore,groundwater,22.7196,75.8577,1/1/2018,0.009,0.001,0.004,0.002,0.006,0.09,0.01,0.7,0.12,FALSE,Extracted from CPCB 2018 GW Report,3.1,2.8,8.5,1.9,urban,950,Chromic Vertisols,1120,553
CPCB-GW-2018-16,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Goa,North Goa,groundwater,15.5409,73.8302,1/1/2018,0.002,0.0005,0.001,0.001,0.001,0.02,0.002,0.15,0.02,FALSE,Extracted from CPCB 2018 GW Report,12.4,1.1,25.1,5.6,forest,3200,Ferric Acrisols,450,11
CPCB-GW-2018-17,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Chhattisgarh,Durg,groundwater,21.1904,81.2828,1/1/2018,0.011,0.001,0.006,0.008,0.009,0.11,0.015,1.1,0.19,FALSE,Extracted from CPCB 2018 GW Report,2.5,3.1,7.9,2.4,industrial,1320,Haplic Acrisols,720,290
IWRIS-R-4,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Telangana,Khammam,river,17.2475,80.1514,9/11/2020,0.005,0.001,0.002,0.003,0.003,0.05,0.006,0.45,0.07,FALSE,Extracted from India-WRIS portal,14.8,1.8,21.3,4.9,cropland,1050,Pellic Vertisols,430,107
IWRIS-R-5,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Uttarakhand,Haridwar,river,29.9457,78.1642,3/5/2021,0.003,0.0005,0.001,0.002,0.002,0.03,0.003,0.2,0.03,FALSE,Extracted from India-WRIS portal,9.5,0.4,18.8,3.1,urban,1350,Eutric Cambisols,850,294
IWRIS-G-2,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Sikkim,East Sikkim,groundwater,27.3389,88.6065,6/20/2019,0.001,0.0005,0.0005,0.001,0.001,0.01,0.001,0.08,0.01,FALSE,Extracted from India-WRIS portal,25.1,2.5,45.2,11.8,forest,3000,Dystric Regosols,210,1850
STUDY-33-S01,Rajkumar_etal_2020_Adyar,https://doi.org/10.1007/s13201-020-01208-4,India,Tamil Nadu,Kanchipuram,river,12.98,80.22,8/14/2019,0.012,0.002,0.009,0.004,0.01,0.11,0.025,0.9,0.16,FALSE,Extracted from academic paper,2.1,0.3,5.8,0.9,urban,1400,Gleyic Solonchaks,2200,8
STUDY-34-S01,Saleem_etal_2018_Lidder,https://doi.org/10.1007/s10661-018-6872-9,India,Jammu and Kashmir,Anantnag,river,33.8,75.2,7/22/2017,0.001,0.0005,0.001,0.0005,0.001,0.008,0.003,0.05,0.005,FALSE,Extracted from academic paper,45.2,5.1,68.3,18.5,forest,950,Eutric Cambisols,120,2180
STUDY-35-S01,Taloor_etal_2020_Ujh,https://doi.org/10.1007/s12517-020-05364-1,India,Jammu and Kashmir,Kathua,groundwater,32.38,75.45,5/10/2019,0.003,0.0005,0.001,0.002,0.002,0.02,0.004,0.15,0.02,FALSE,Extracted from academic paper,18.9,2.2,28.4,8.1,cropland,1250,Haplic Luvisols,550,386
STUDY-36-S01,Upadhyay_etal_2019_Rihand,https://doi.org/10.1016/j.envpol.2018.10.126,India,Uttar Pradesh,Sonbhadra,river,24.2,83.05,3/20/2018,0.045,0.005,0.038,0.011,0.04,0.45,0.11,3.8,0.85,FALSE,Extracted from academic paper,1.8,4.5,7.1,3.3,industrial,1000,Calcaric Regosols,350,310
STUDY-37-S01,Ambiga_etal_2021_Amaravati,https://doi.org/10.1007/s13201-021-01389-6,India,Tamil Nadu,Karur,river,10.95,78,1/28/2020,0.022,0.003,0.015,0.006,0.018,0.2,0.05,1.5,0.3,FALSE,Extracted from academic paper,3.5,2.1,8.9,2.8,cropland,700,Chromic Vertisols,850,121
STUDY-38-S01,Sharma_etal_2019_Sutlej,https://doi.org/10.1007/s11356-018-3580-5,India,Punjab,Ludhiana,river,30.9,75.85,5/16/2018,0.065,0.006,0.07,0.013,0.06,0.7,0.25,6.1,1.4,FALSE,Extracted from academic paper,0.9,1.8,4.2,1.1,industrial,650,Calcaric Fluvisols,1850,256
STUDY-39-S01,Bhatt_etal_2020_Alaknanda,https://doi.org/10.1007/s11356-019-07153-x,India,Uttarakhand,Chamoli,river,30.4,79.56,9/10/2019,0.001,0.0005,0.0005,0.001,0.001,0.005,0.002,0.04,0.004,FALSE,Extracted from academic paper,55.8,11.2,80.1,25.3,forest,1300,Eutric Cambisols,50,1370
STUDY-40-S01,Singh_etal_2022_Saryu,https://doi.org/10.1007/s10661-022-09949-5,India,Uttar Pradesh,Ayodhya,river,26.79,82.2,2/18/2021,0.005,0.001,0.003,0.008,0.004,0.04,0.006,0.3,0.05,FALSE,Extracted from academic paper,22.4,1.1,35.7,8.8,cropland,1150,Calcaric Fluvisols,1050,91
STUDY-41-S01,Das_etal_2020_Bidyadhari,https://doi.org/10.1016/j.marpolbul.2020.111453,India,West Bengal,North 24 Parganas,river,22.3,88.7,11/25/2019,0.018,0.002,0.011,0.007,0.015,0.13,0.03,1.1,0.21,FALSE,Extracted from academic paper,11.5,0.4,18.9,5.2,wetland,1750,Gleyic Fluvisols,1200,4
STUDY-42-S01,Keesari_etal_2016_Pennar_GW,https://doi.org/10.1007/s12665-015-4927-9,India,Andhra Pradesh,Nellore,groundwater,14.44,79.98,6/20/2015,0.001,0.0005,0.001,0.002,0.001,0.01,0.002,0.1,0.01,FALSE,Extracted from academic paper,28.9,3.5,41.2,9.8,cropland,1080,Chromic Luvisols,650,22
CPCB-GW-2018-18,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Jharkhand,Ranchi,groundwater,23.3441,85.3096,1/1/2018,0.007,0.001,0.004,0.005,0.005,0.07,0.008,0.6,0.1,FALSE,Extracted from CPCB 2018 GW Report,8.1,2.5,13.4,3.1,urban,1450,Haplic Acrisols,1120,652
CPCB-GW-2018-19,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Manipur,Imphal,groundwater,24.817,93.9368,1/1/2018,0.002,0.0005,0.001,0.003,0.002,0.02,0.002,0.2,0.03,FALSE,Extracted from CPCB 2018 GW Report,15.6,1.8,28.9,9.5,urban,1780,Dystric Gleysols,750,780
CPCB-GW-2018-20,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Meghalaya,East Khasi Hills,groundwater,25.5788,91.8933,1/1/2018,0.001,0.0005,0.0005,0.001,0.001,0.01,0.001,0.09,0.01,FALSE,Extracted from CPCB 2018 GW Report,22.3,3.1,35.6,12.1,forest,2800,Haplic Acrisols,320,1470
CPCB-GW-2018-21,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Mizoram,Aizawl,groundwater,23.7271,92.7176,1/1/2018,0.001,0.0005,0.0005,0.001,0.001,0.008,0.001,0.07,0.008,FALSE,Extracted from CPCB 2018 GW Report,30.5,4.5,50.1,15.8,forest,2550,Haplic Alisols,280,1070
CPCB-GW-2018-22,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Nagaland,Dimapur,groundwater,25.906,93.7423,1/1/2018,0.002,0.0005,0.001,0.004,0.002,0.02,0.002,0.25,0.04,FALSE,Extracted from CPCB 2018 GW Report,12.1,1.5,21.8,7.3,urban,1900,Gleyic Acrisols,550,146
CPCB-GW-2018-23,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Tripura,West Tripura,groundwater,23.8315,91.2868,1/1/2018,0.003,0.0005,0.001,0.006,0.002,0.03,0.003,0.3,0.05,FALSE,Extracted from CPCB 2018 GW Report,9.8,0.9,18.5,6.2,cropland,2200,Gleyic Acrisols,890,14
IWRIS-R-6,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Arunachal Pradesh,Lohit,river,27.85,96.3,5/20/2021,0.001,0.0005,0.0005,0.001,0.001,0.005,0.001,0.04,0.004,FALSE,Extracted from India-WRIS portal,45.1,8.2,70.3,28.9,forest,2800,Dystric Cambisols,40,350
